"調査年","地域","/項目","A1101_総人口【人】"
"2020年度","石川県 金沢市","","463254"
"2020年度","石川県 七尾市","","50300"
"2020年度","石川県 小松市","","106216"
"2020年度","石川県 輪島市","","24608"
"2020年度","石川県 珠洲市","","12929"
"2020年度","石川県 加賀市","","63220"
"2020年度","石川県 羽咋市","","20407"
"2020年度","石川県 かほく市","","34889"
"2020年度","石川県 白山市","","110408"
"2020年度","石川県 能美市","","48523"
"2020年度","石川県 野々市市","","57238"
"2020年度","石川県 川北町","","6135"
"2020年度","石川県 津幡町","","36957"
"2020年度","石川県 内灘町","","26574"
"2020年度","石川県 志賀町","","18630"
"2020年度","石川県 宝達志水町","","12121"
"2020年度","石川県 中能登町","","16540"
"2020年度","石川県 穴水町","","7890"
"2020年度","石川県 能登町","","15687"
"2015年度","石川県 金沢市","","465699"
"2015年度","石川県 七尾市","","55325"
"2015年度","石川県 小松市","","106919"
"2015年度","石川県 輪島市","","27216"
"2015年度","石川県 珠洲市","","14625"
"2015年度","石川県 加賀市","","67186"
"2015年度","石川県 羽咋市","","21729"
"2015年度","石川県 かほく市","","34219"
"2015年度","石川県 白山市","","109287"
"2015年度","石川県 能美市","","48881"
"2015年度","石川県 野々市市","","55099"
"2015年度","石川県 川北町","","6347"
"2015年度","石川県 津幡町","","36968"
"2015年度","石川県 内灘町","","26987"
"2015年度","石川県 志賀町","","20422"
"2015年度","石川県 宝達志水町","","13174"
"2015年度","石川県 中能登町","","17571"
"2015年度","石川県 穴水町","","8786"
"2015年度","石川県 能登町","","17568"
"2010年度","石川県 金沢市","","462361"
"2010年度","石川県 七尾市","","57900"
"2010年度","石川県 小松市","","108433"
"2010年度","石川県 輪島市","","29858"
"2010年度","石川県 珠洲市","","16300"
"2010年度","石川県 加賀市","","71887"
"2010年度","石川県 羽咋市","","23032"
"2010年度","石川県 かほく市","","34651"
"2010年度","石川県 白山市","","110459"
"2010年度","石川県 能美市","","48680"
"2010年度","石川県 野々市市","","51885"
"2010年度","石川県 川北町","","6147"
"2010年度","石川県 津幡町","","36940"
"2010年度","石川県 内灘町","","26927"
"2010年度","石川県 志賀町","","22216"
